GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION BIOLOGICAL_PROC
GO_CARDIAC_CHAMBER_DEVELOPMENT http://www.broadinstitute.org/gsea/msigdb/cards/GO_CARDIAC_CHAMBER_DEVELOPMENT BIOLOGICAL_PROC
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY BIOLOGICAL_PROC
GO_CIRCADIAN_RHYTHM http://www.broadinstitute.org/gsea/msigdb/cards/GO_CIRCADIAN_RHYTHM BIOLOGICAL_PROC
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING http://www.broadinstitute.org/gsea/msigdb/cards/GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING BIOLOGICAL_PROC
GO_SPINAL_CORD_DEVELOPMENT http://www.broadinstitute.org/gsea/msigdb/cards/GO_SPINAL_CORD_DEVELOPMENT BIOLOGICAL_PROC
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY http://www.broadinstitute.org/gsea/msigdb/cards/GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY BIOLOGICAL_PROC
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS BIOLOGICAL_PROC
GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY BIOLOGICAL_PROC
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION BIOLOGICAL_PROC
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY BIOLOGICAL_PROC
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS BIOLOGICAL_PROC
GO_POTASSIUM_ION_TRANSPORT http://www.broadinstitute.org/gsea/msigdb/cards/GO_POTASSIUM_ION_TRANSPORT BIOLOGICAL_PROC
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY BIOLOGICAL_PROC
GO_CARDIAC_MUSCLE_ADAPTATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_CARDIAC_MUSCLE_ADAPTATION BIOLOGICAL_PROC
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION BIOLOGICAL_PROC
